id,balance,rate,rate_3,user_id
2647123482998,3529,0.3,0.3,valensia
1371890547669,3389,0.1,0.5,bigmommy
133729337011,2931,0.5,0.4,stone
1610829538185,3753,0.5,0.2,valensia
4052212385096,2093,0.3,0.5,stone
3883084694228,1397,0.1,0.2,valensia
2608323716144,3840,0.5,0.4,crosher
2793578192849,4364,0.1,0.5,crosher
681868150209,3048,0.1,0.4,stone
3553066457220,4874,0.4,0.1,sun56
4209448077237,2098,0.5,0.5,bigmommy
3518693660704,3926,0.1,0.2,bigmommy
357811581587,3509,0.5,0.4,stone
1463674260822,3031,0.4,0.4,valensia
3793446385506,3827,0.5,0.5,sun56
3441923223166,549,0.3,0.2,sun56
1648535695767,658,0.3,0.4,stone
3085477949584,1041,0.4,0.4,stone
1897327484419,2708,0.4,0.3,crosher
2830091972249,1229,0.2,0.2,valensia
3663263216658,4202,0.4,0.5,stone
1862061336646,3618,0.1,0.4,sun56
3034597456539,5078,0.2,0.1,bigmommy
1820843223765,2122,0.4,0.2,sun56
2361169048307,4251,0.4,0.5,stone
4106018114818,3981,0.2,0.2,bigmommy
3839620651818,3175,0.1,0.4,valensia
3234727518785,1649,0.1,0.1,bigmommy
2708421372990,1172,0.1,0.2,valensia
3321879674394,2234,0.2,0.3,sun56
179314000774,3888,0.1,0.4,bigmommy
1608112996184,1249,0.4,0.1,stone
3283562132433,1941,0.5,0.4,stone
3609052958096,1097,0.3,0.2,valensia
3165385400574,1756,0.5,0.2,stone
167815943893,485,0.4,0.4,bigmommy
3698242350663,1867,0.1,0.1,crosher
138667989973,3337,0.3,0.5,valensia
2198657082257,3628,0.4,0.4,stone
4236347112445,4888,0.4,0.1,valensia
1872699182956,2264,0.4,0.4,bigmommy
3647808168463,3785,0.3,0.1,sun56
1507653696045,1534,0.4,0.3,sun56
1163133274917,3305,0.3,0.5,crosher
57945409225,3003,0.2,0.5,bigmommy
2639545620575,5230,0.5,0.5,stone
1981096903964,3265,0.4,0.3,sun56
1959173539787,5050,0.3,0.4,sun56
3341794022161,2079,0.5,0.1,valensia
2925139795238,3136,0.5,0.2,crosher
1685438455169,2123,0.2,0.5,valensia
1467937931991,407,0.5,0.1,stone
2142969330403,2160,0.3,0.3,stone
558682699317,5060,0.1,0.3,bigmommy
2341663417773,4170,0.2,0.1,stone
2019749231490,1275,0.5,0.2,sun56
1930238687556,4965,0.2,0.5,crosher
2110984584061,4956,0.2,0.1,crosher
3285363797890,2722,0.3,0.5,bigmommy
1375687983348,2313,0.4,0.3,stone
673178104899,2839,0.1,0.5,crosher
3459078401411,781,0.2,0.1,valensia
123937347480,2188,0.3,0.4,valensia
3794138234164,4574,0.3,0.2,bigmommy
1217531476749,2754,0.5,0.3,crosher
1130678719517,705,0.4,0.3,crosher
2546230517040,3437,0.4,0.3,crosher
4299815423155,1646,0.4,0.4,crosher
1193836562230,2903,0.5,0.3,bigmommy
3287407152817,1849,0.1,0.4,bigmommy
967727393764,4471,0.3,0.2,bigmommy
1077629447675,4085,0.3,0.2,stone
3813802689277,2282,0.1,0.1,crosher
1806699833010,3957,0.5,0.3,crosher
3787284883301,1632,0.1,0.3,stone
3918022576120,3518,0.1,0.2,valensia
2302767704043,4402,0.5,0.4,stone
534836263013,582,0.5,0.3,bigmommy
2767134126818,1655,0.2,0.4,sun56
4354462725856,1939,0.1,0.5,bigmommy
2036465469800,1921,0.3,0.1,sun56
1795932186797,2049,0.2,0.3,stone
1730240397908,1315,0.2,0.1,stone
4086562998139,3357,0.5,0.1,valensia
939884789193,2030,0.5,0.5,valensia
3802007916504,2854,0.3,0.2,valensia
1089124638907,1395,0.2,0.2,sun56
1315421917541,2932,0.5,0.2,valensia
2845232325906,2818,0.2,0.4,sun56
2852803093905,852,0.1,0.3,valensia
2199950912458,1611,0.5,0.3,bigmommy
3647630442717,1895,0.1,0.2,valensia
593872308968,4081,0.2,0.3,crosher
2242626018746,1900,0.5,0.2,stone
2514951343281,5274,0.2,0.2,valensia
2904333638096,1168,0.3,0.5,bigmommy
2433945713258,3394,0.5,0.5,valensia
311165973282,2827,0.2,0.2,valensia
4041584669561,5047,0.1,0.3,crosher
3732825913419,5203,0.4,0.5,sun56
